Name;Location;Country;Latitude;Longitude;Elevation
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Miyake-jima;Izu Is-Japan;Japan;34,08;139,53;815
Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Semeru;Java;Indonesia;-8.108;112,92;3676
Michoacan-Guanajuato;Mexico;Mexico;19,48;-102,25;3860
Azul, Cerro;Galapagos;Ecuador;-0,9;-91,42;1690
Vesuvius;Italy;Italy;40.821;14.426;1281
Cleveland;Aleutian Is;United States;52,82;-169,95;1730
Usu;Hokkaido-Japan;Japan;42,53;140,83;731
Stromboli;Italy;Italy;38.789;15.213;926
Usu;Hokkaido-Japan;Japan;42,53;140,83;731
Dieng Volc Complex;Java;Indonesia;-7,2;109,92;2565
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Semeru;Java;Indonesia;-8.108;112,92;3676
Semeru;Java;Indonesia;-8.108;112,92;3676
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Akagi;Honshu-Japan;Japan;36,53;139,18;1828
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Iliwerung;Lesser Sunda Is;Indonesia;-8,54;123,59;1018
Villarrica;Chile-C;Chile;-39,42;-71,93;2847
Purace;Colombia;Colombia;2,32;-76,4;4650
Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332
Semeru;Java;Indonesia;-8.108;112,92;3676
Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Lamington;New Guinea;Papua New Guinea;-8,95;148,15;1680
Cosiguina;Nicaragua;Nicaragua;12,98;-87,57;872
Kelut;Java;Indonesia;-7,93;112.308;1731
Hakone;Honshu-Japan;Japan;35,22;139,02;1438
Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332
Kavachi;Solomon Is-SW Pacifi;Solomon Is.;-9,02;157,95;-20
Hakone;Honshu-Japan;Japan;35,22;139,02;1438
Myojun Knoll;Izu Is-Japan;Japan;32,1;139,85;360
Myojun Knoll;Izu Is-Japan;Japan;32,1;139,85;360
Myojun Knoll;Izu Is-Japan;Japan;32,1;139,85;360
Myojun Knoll;Izu Is-Japan;Japan;32,1;139,85;360
Ambalatungan Group;Luzon-Philippines;Philippines;17,32;121,1;2329
Myojun Knoll;Izu Is-Japan;Japan;32,1;139,85;360
Merapi;Java;Indonesia;-7.542;110.442;2947
Myojun Knoll;Izu Is-Japan;Japan;32,1;139,85;360
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
St. Andrew Strait;Admiralty Is-SW Paci;Papua New Guinea;-2,38;147,35;270
Sirung;Lesser Sunda Is;Indonesia;-8,51;124.148;862
Hakone;Honshu-Japan;Japan;35,22;139,02;1438
Oshima;Izu Is-Japan;Japan;34,73;139,38;758
Ruapehu;New Zealand;New Zealand;-39,28;175,57;2797
Stromboli;Italy;Italy;38.789;15.213;926
Tate-yama;Honshu-Japan;Japan;36,57;137,6;2621
Bam;New Guinea-NE of;Papua New Guinea;-3,6;144,85;685
Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332
Carran-Los Venados;Chile-C;Chile;-40,35;-72,07;1114
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Bezymianny;Kamchatka;Russia;55.978;160.587;2882
Vsevidof;Aleutian Is;United States;53,13;-168,68;2149
Unzen;Kyushu-Japan;Japan;32,75;130,3;1500
Oshima;Izu Is-Japan;Japan;34,73;139,38;758
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Mahawu;Sulawesi-Indonesia;Indonesia;1.358;124.858;1324
Daisetsu;Hokkaido-Japan;Japan;43,68;142,88;2290
Kuwae;Vanuatu-SW Pacific;Vanuatu;-16.829;168.536;-2
Puyehue;Chile-C;Chile;-40,59;-72.117;2236
Calbuco;Chile-S;Chile;-41.326;-72.614;2003
Tate-yama;Honshu-Japan;Japan;36,57;137,6;2621
Merapi;Java;Indonesia;-7.542;110.442;2947
Daisetsu;Hokkaido-Japan;Japan;43,68;142,88;2290
Asama;Honshu-Japan;Japan;36,4;138,53;2560
Tokachi;Hokkaido-Japan;Japan;43,42;142,68;2077
Merapi;Java;Indonesia;-7.542;110.442;2947
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Irazu;Costa Rica;Costa Rica;9.979;-83.852;3432
Agung;Lesser Sunda Is;Indonesia;-8.342;115.508;3142
Semeru;Java;Indonesia;-8.108;112,92;3676
Agung;Lesser Sunda Is;Indonesia;-8.342;115.508;3142
Villarrica;Chile-C;Chile;-39,42;-71,93;2847
Batur;Lesser Sunda Is;Indonesia;-8.242;115.375;1717
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
Irazu;Costa Rica;Costa Rica;9.979;-83.852;3432
Paluweh;Lesser Sunda Is;Indonesia;-8,32;121.708;875
Villarrica;Chile-C;Chile;-39,42;-71,93;2847
Dieng Volc Complex;Java;Indonesia;-7,2;109,92;2565
Taal;Luzon-Philippines;Philippines;14.002;120.993;400
Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10,38;165,8;851
Kelut;Java;Indonesia;-7,93;112.308;1731
Awu;Sangihe Is-Indonesia;Indonesia;3,67;125,5;1320
Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890
Lengai, Ol Doinyo;Africa-E;Tanzania;-2.751;35.902;2890
Semeru;Java;Indonesia;-8.108;112,92;3676
Deception Island;Antarctica;Antarctica;-62,97;-60,65;576
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657
Merapi;Java;Indonesia;-7.542;110.442;2947
Iya;Lesser Sunda Is;Indonesia;-8,88;121,63;637
Didicas;Luzon-N of;Philippines;19.077;122.202;244
Narugo;Honshu-Japan;Japan;38,73;140,73;462
Campi Flegrei;Italy;Italy;40.827;14.139;458
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Hudson, Cerro;Chile-S;Chile;-45,9;-72,97;1905
Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10,38;165,8;851
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
La Palma;Canary Is;Spain;28,58;-17,83;2426
Villarrica;Chile-C;Chile;-39,42;-71,93;2847
Kusatsu-Shirane;Honshu-Japan;Japan;36,62;138,55;2176
Fournaise, Piton de la;Indian O-W;Reunion;-21.229;55.713;2631
Hakone;Honshu-Japan;Japan;35,22;139,02;1438
Ritter Island;New Guinea-NE of;Papua New Guinea;-5,52;148.121;140
Vestmannaeyjar;Iceland-S;Iceland;63,43;-20,28;279
Paluweh;Lesser Sunda Is;Indonesia;-8,32;121.708;875
Hudson, Cerro;Chile-S;Chile;-45,9;-72,97;1905
Iliwerung;Lesser Sunda Is;Indonesia;-8,54;123,59;1018
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Niigata-Yake-yama;Honshu-Japan;Japan;36,92;138,03;2400
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
Ritter Island;New Guinea-NE of;Papua New Guinea;-5,52;148.121;140
Merapi;Java;Indonesia;-7.542;110.442;2947
Marapi;Sumatra;Indonesia;-0,381;100.473;2891
Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Kusatsu-Shirane;Honshu-Japan;Japan;36,62;138,55;2176
Sangay;Ecuador;Ecuador;-2,03;-78,33;5230
Semeru;Java;Indonesia;-8.108;112,92;3676
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Merapi;Java;Indonesia;-7.542;110.442;2947
Nyiragongo;Africa-C;Congo, DRC;-1,52;29,25;3470
Karthala;Indian O-W;Comoros;-11,75;43,38;2361
Krafla;Iceland-NE;Iceland;65,73;-16,78;650
Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835
Usu;Hokkaido-Japan;Japan;42,53;140,83;731
Usu;Hokkaido-Japan;Japan;42,53;140,83;731
Bulusan;Luzon-Philippines;Philippines;12,77;124,05;1565
Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772
Semeru;Java;Indonesia;-8.108;112,92;3676
Tangkubanparahu;Java;Indonesia;-6,77;107,6;2084
Dieng Volc Complex;Java;Indonesia;-7,2;109,92;2565
Karkar;New Guinea-NE of;Papua New Guinea;-4.649;145.964;1839
Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;13,33;-61,18;1220
Etna;Italy;Italy;37.734;15.004;3350
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Iliwerung;Lesser Sunda Is;Indonesia;-8,54;123,59;1018
St. Helens;US-Washington;United States;46,2;-122,18;2549
Hekla;Iceland-S;Iceland;63,98;-19,7;1491
Hood;US-Oregon;United States;45.374;-121.694;3426
Etna;Italy;Italy;37.734;15.004;3350
Semeru;Java;Indonesia;-8.108;112,92;3676
Alaid;Kuril Is;Russia;50.858;155,55;2339
Semeru;Java;Indonesia;-8.108;112,92;3676
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Paluweh;Lesser Sunda Is;Indonesia;-8,32;121.708;875
Vilyuchik;Kamchatka;Russia;52,68;158,3;2173
Chichon, El;Mexico;Mexico;17,36;-93.228;1150
Chichon, El;Mexico;Mexico;17,36;-93.228;1150
Galunggung;Java;Indonesia;-7,25;108,05;2168
Chichon, El;Mexico;Mexico;17,36;-93.228;1150
Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835
Colo [Una Una];Sulawesi-Indonesia;Indonesia;-0,17;121.608;507
Iliwerung;Lesser Sunda Is;Indonesia;-8,54;123,59;1018
Miyake-jima;Izu Is-Japan;Japan;34,08;139,53;815
Oku Volc Field;Africa-W;Cameroon;6,25;10,5;3011
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
On-take;Honshu-Japan;Japan;35,9;137,48;3063
Etna;Italy;Italy;37.734;15.004;3350
Semeru;Java;Indonesia;-8.108;112,92;3676
Ruiz;Colombia;Colombia;4.895;-75.322;5321
Etna;Italy;Italy;37.734;15.004;3350
Akita-Yake-yama;Honshu-Japan;Japan;39,97;140,77;1366
Stromboli;Italy;Italy;38.789;15.213;926
Oku Volc Field;Africa-W;Cameroon;6,25;10,5;3011
Merapi;Java;Indonesia;-7.542;110.442;2947
Oshima;Izu Is-Japan;Japan;34,73;139,38;758
Pacaya;Guatemala;Guatemala;14.381;-90.601;2552
Etna;Italy;Italy;37.734;15.004;3350
Sirung;Lesser Sunda Is;Indonesia;-8,51;124.148;862
Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640
Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657
Semeru;Java;Indonesia;-8.108;112,92;3676
Lonquimay;Chile-C;Chile;-38.377;-71,58;2865
Akita-Yake-yama;Honshu-Japan;Japan;39,97;140,77;1366
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700
Shiveluch;Kamchatka;Russia;56.653;161,36;3283
Kelut;Java;Indonesia;-7,93;112.308;1731
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Sabancaya;Peru;Peru;-15,78;-71,85;5967
Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688
Santa Maria;Guatemala;Guatemala;14.756;-91.552;3772
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Nyiragongo;Africa-C;Congo, DRC;-1,52;29,25;3470
Kelut;Java;Indonesia;-7,93;112.308;1731
Unzen;Kyushu-Japan;Japan;32,75;130,3;1500
Pinatubo;Luzon-Philippines;Philippines;15,13;120,35;1486
Mutnovsky;Kamchatka;Russia;52.453;158.195;2322
Karthala;Indian O-W;Comoros;-11,75;43,38;2361
Hudson, Cerro;Chile-S;Chile;-45,9;-72,97;1905
Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580
Etna;Italy;Italy;37.734;15.004;3350
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Dieng Volc Complex;Java;Indonesia;-7,2;109,92;2565
Negro, Cerro;Nicaragua;Nicaragua;12.506;-86.702;728
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Marapi;Sumatra;Indonesia;-0,381;100.473;2891
Pinatubo;Luzon-Philippines;Philippines;15,13;120,35;1486
Spurr;Alaska-SW;United States;61,3;-152,25;3374
Semeru;Java;Indonesia;-8.108;112,92;3676
Galeras;Colombia;Colombia;1,22;-77,37;4276
Wurlali;Banda Sea;Indonesia;-7.125;128.675;868
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Guagua Pichincha;Ecuador;Ecuador;-0,171;-78.598;4784
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Krakatau;Indonesia;Indonesia;-6.102;105.423;813
Unzen;Kyushu-Japan;Japan;32,75;130,3;1500
Pinatubo;Luzon-Philippines;Philippines;15,13;120,35;1486
Pinatubo;Luzon-Philippines;Philippines;15,13;120,35;1486
Yasur;Vanuatu-SW Pacific;Vanuatu;-19,52;169.425;361
Semeru;Java;Indonesia;-8.108;112,92;3676
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Huila;Colombia;Colombia;2,92;-76,05;5365
Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688
Rinjani;Lesser Sunda Is;Indonesia;-8,42;116,47;3726
Merapi;Java;Indonesia;-7.542;110.442;2947
Yasur;Vanuatu-SW Pacific;Vanuatu;-19,52;169.425;361
Yake-dake;Honshu-Japan;Japan;36,22;137,58;2455
Fogo;Cape Verde Is;Cape Verde;14,95;-24,35;2829
Pacaya;Guatemala;Guatemala;14.381;-90.601;2552
Kelimutu;Lesser Sunda Is;Indonesia;-8.758;121,83;1640
Parker;Mindanao-Philippines;Philippines;6,12;124.892;1824
Karymsky;Kamchatka;Russia;54,05;159,43;1536
Popocatepetl;Mexico;Mexico;19.023;-98.622;5426
Kanlaon;Philippines-C;Philippines;10.412;123.132;2435
Maderas;Nicaragua;Nicaragua;11.446;-85.515;1394
Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725
Manam;New Guinea-NE of;Papua New Guinea;-4,1;145.061;1807
Merapi;Java;Indonesia;-7.542;110.442;2947
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Soufriere Hills;W Indies;Montserrat;16,72;-62,18;915
Hakkoda Group;Honshu-Japan;Japan;40,65;140,88;1585
Soufriere Hills;W Indies;Montserrat;16,72;-62,18;915
Semeru;Java;Indonesia;-8.108;112,92;3676
Adatara;Honshu-Japan;Japan;37,62;140,28;1718
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
Soufriere Hills;W Indies;Montserrat;16,72;-62,18;915
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Kelut;Java;Indonesia;-7,93;112.308;1731
San Cristobal;Nicaragua;Nicaragua;12.702;-87.004;1745
Soufriere Hills;W Indies;Montserrat;16,72;-62,18;915
Fuego;Guatemala;Guatemala;14.473;-90,88;3763
Shiveluch;Kamchatka;Russia;56.653;161,36;3283
Guagua Pichincha;Ecuador;Ecuador;-0,171;-78.598;4784
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Miyake-jima;Izu Is-Japan;Japan;34,08;139,53;815
Semeru;Java;Indonesia;-8.108;112,92;3676
Arenal;Costa Rica;Costa Rica;10.463;-84.703;1657
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Merapi;Java;Indonesia;-7.542;110.442;2947
Etna;Italy;Italy;37.734;15.004;3350
Etna;Italy;Italy;37.734;15.004;3350
Merapi;Java;Indonesia;-7.542;110.442;2947
Stromboli;Italy;Italy;38.789;15.213;926
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Nyiragongo;Africa-C;Congo, DRC;-1,52;29,25;3470
Etna;Italy;Italy;37.734;15.004;3350
Reventador;Ecuador;Ecuador;-0,078;-77.656;3562
Stromboli;Italy;Italy;38.789;15.213;926
Semeru;Java;Indonesia;-8.108;112,92;3676
Soufriere Hills;W Indies;Montserrat;16,72;-62,18;915
Egon;Lesser Sunda Is;Indonesia;-8,67;122,45;1703
Tengger Caldera;Java;Indonesia;-7.942;112,95;2329
Manam;New Guinea-NE of;Papua New Guinea;-4,1;145.061;1807
Manam;New Guinea-NE of;Papua New Guinea;-4,1;145.061;1807
Santa Ana;El Salvador;El Salvador;13.853;-89,63;2365
Karthala;Indian O-W;Comoros;-11,75;43,38;2361
Raoul Island;Kermadec Is;New Zealand;-29,27;-177,92;516
Soufriere Hills;W Indies;Montserrat;16,72;-62,18;915
Bulusan;Luzon-Philippines;Philippines;12,77;124,05;1565
Merapi;Java;Indonesia;-7.542;110.442;2947
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Manam;New Guinea-NE of;Papua New Guinea;-4,1;145.061;1807
Huila;Colombia;Colombia;2,92;-76,05;5365
Salak;Java;Indonesia;-6,72;106,73;2211
Tair, Jebel at;Red Sea;Yemen;15,7;41.742;244
Chaiten;Chile-S;Chile;-42.833;-72.646;962
Kasatochi;Aleutian Is;United States;52,18;-175,5;314
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Huila;Colombia;Colombia;2,92;-76,05;5365
Redoubt;Alaska-SW;United States;60,48;-152,75;3108
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Eyjafjallajokull;Iceland-S;Iceland;63,63;-19,62;1666
Pacaya;Guatemala;Guatemala;14.381;-90.601;2552
Sarigan;Mariana Is-C Pacific;United States;16.708;145,78;538
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Merapi;Java;Indonesia;-7.542;110.442;2947
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Tengger Caldera;Java;Indonesia;-7.942;112,95;2329
Merapi;Java;Indonesia;-7.542;110.442;2947
Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700
Bulusan;Luzon-Philippines;Philippines;12,77;124,05;1565
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023
Puyehue;Chile-C;Chile;-40,59;-72.117;2236
Nabro;Africa-NE;Eritrea;13,37;41,7;2218
Katla;Iceland-S;Iceland;63,63;-19,05;1512
Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Tolbachik;Kamchatka;Russia;55,83;160,33;3682
Merapi;Java;Indonesia;-7.542;110.442;2947
Paluweh;Lesser Sunda Is;Indonesia;-8,32;121.708;875
Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462
Paluweh;Lesser Sunda Is;Indonesia;-8,32;121.708;875
Ubinas;Peru;Peru;-16.355;-70.903;5672
Sakura-jima;Kyushu-Japan;Japan;31,58;130,67;1117
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Kelut;Java;Indonesia;-7,93;112.308;1731
On-take;Honshu-Japan;Japan;35,9;137,48;3063
Kilauea;Hawaiian Is;United States;19.425;-155.292;1222
Fogo;Cape Verde Is;Cape Verde;14,95;-24,35;2829
Gamalama;Halmahera-Indonesia;Indonesia;0,8;127.325;1715
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Calbuco;Chile-S;Chile;-41.326;-72.614;2003
Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;2,78;125,48;1784
Manam;New Guinea-NE of;Papua New Guinea;-4,1;145.061;1807
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Sinabung;Sumatra;Indonesia;3,17;98.392;2460
Yellowstone;US-Wyoming;United States;44,43;-110,67;2805
Rinjani;Lesser Sunda Is;Indonesia;-8,42;116,47;3726
Aso;Kyushu-Japan;Japan;32,88;131,1;1592
